地名,センター,燃焼ゴミ,資源ゴミ,大型複雑ゴミ,小型複雑ゴミ,有害危険ゴミ
朝日が丘町,ごみ収集,水 土,火1 火3,火4,火2
朝日町,ごみ収集,月 木,水1 水3,水4,水2
青葉丘北,ごみ収集,火 金,月1 月3,月4,月2
青葉丘南,ごみ収集,火 金,月1 月3,月4,月2
青山台１丁目,ごみ収集,月 木,火2 火4,火1,火3
青山台２～４丁目,ごみ収集,月 木,火1 火3,火2,火4
泉町１丁目,ごみ収集,水 土,木2 木4,木1,木3
泉町２～３丁目,ごみ収集,水 土,火2 火4,火1,火3
泉町４～５丁目,ごみ収集,水 土,火1 火3,火2,火4
内本町１丁目,ごみ収集,月 木,水1 水3,水4,水2
内本町２～３丁目,ごみ収集,月 木,水2 水4,水3,水1
江坂町１丁目,ごみ収集,月 木,金1 金3,金2,金4
江坂町２丁目,ごみ収集,月 木,水1 水3,水2,水4
江坂町３～４丁目,ごみ収集,火 金,月2 月4,月1,月3
江坂町５丁目,ごみ収集,火 金,月1 月3,月2,月4
江の木町,ごみ収集,水 土,木1 木3,木2,木4
春日１～４丁目 火 金,土2 土4,土1,土3
片山町１丁目,ごみ収集,水 土,火1 火3,火4,火2
片山町２丁目１２番,ごみ収集,火 金,土1 土3,土4,土2
片山町２丁目１６～１７番,ごみ収集,水 土,火1 火3,火4,火2
片山町２丁目１２番、１６～１７番以外,ごみ収集,水 土,木1 木3,木4,木2
片山町３丁目,ごみ収集,水 土,火1 火3,火4,火2
片山町４丁目,ごみ収集,月 木,金1 金3,金4,金2
金田町,ごみ収集,水 土,火2 火4,火1,火3
上山手町,ごみ収集,月 木,水2 水4,水1,水3
川岸町,ごみ収集,水 土,火2 火4,火3,火
川園町,ごみ収集,火 金,月2 月4,月3,月1
樫切山,ごみ収集,水 土,木2 木4,木3,木1
上山田,ごみ収集,水 土,火1 火3,火2,火4
岸部北１丁目,ごみ収集,月 木,水1 水3,水4,水2
岸部北２～５丁目,ごみ収集,月 木,水2 水4,水3,水1
岸部中１～５丁目,ごみ収集,月 木,金2 金4, 金3,金1
岸部南１～３丁目,ごみ収集,火 金,土1 土3,土4,土2
寿町1丁目,ごみ収集,水 土,火2 火4,火3,火1
寿町2丁目,ごみ収集,水 土,火1 火3,火4,火2
佐井寺１～２丁目,ごみ収集,月 木,金2 金4,金1,金3
佐井寺３～４丁目,ごみ収集,月 木,金1 金3,金2,金4
佐井寺南が丘,ごみ収集,月 木,金2 金4,金1,金3
